node_id;d+;d-;fc+;fc-;ft+;ft-;c+;c-;gr+;gr-;r+;r-;gi
1377;0;3;0;2;0;2;126;0;0;3;0;4;0
1378;19;3;17;2;1;1;31;1;2;2;19;3;1
1379;0;6;0;1;0;1;125;0;0;4;0;7;0
1380;0;4;0;1;0;1;201;0;0;3;0;4;0
1381;0;3;0;1;0;1;21;0;0;2;0;3;0
1382;0;7;0;1;0;1;44;0;0;4;0;7;0
1383;0;2;0;1;0;1;34;0;0;2;0;2;0
1384;0;1;0;1;0;0;0;0;0;1;0;1;0
1385;0;1;0;1;0;0;0;0;0;1;0;1;0
1386;2;5;2;1;0;1;332;0;1;3;2;5;0
1387;0;19;0;2;0;2;192;0;0;6;0;20;0
1388;7;5;7;1;0;1;1086;0;1;3;7;5;0
1389;0;10;0;3;0;3;365;0;0;3;0;11;0
1390;0;5;0;1;0;1;6;0;0;3;0;5;0
1391;0;7;0;1;0;1;371;0;0;4;0;7;0
1392;0;5;0;1;0;1;90;0;0;4;0;5;0
1393;0;4;0;1;0;1;207;0;0;3;0;4;0
1394;0;4;0;1;0;1;438;0;0;3;0;4;0
1395;0;4;0;1;0;1;18;0;0;4;0;4;0
1396;0;4;0;1;0;1;17;0;0;3;0;4;0
1397;0;11;0;1;0;1;108;0;0;5;0;11;0
1398;0;5;0;1;0;1;643;0;0;3;0;5;0
1399;0;2;0;1;0;1;17;0;0;2;0;2;0
1400;0;5;0;1;0;1;188;0;0;4;0;6;0
1401;0;1;0;1;0;0;0;0;0;1;0;1;0
1402;0;6;0;1;0;1;197;0;0;4;0;6;0
1403;0;4;0;1;0;1;37;0;0;4;0;4;0
1404;0;5;0;2;0;1;134;0;0;4;0;5;0
1405;4;8;4;2;0;2;239;0;1;3;4;8;0
1406;0;10;0;1;0;1;151;0;0;5;0;10;0
1407;28;3;26;1;1;1;167;0;2;2;28;3;1
1408;0;4;0;1;0;1;3;0;0;3;0;4;0
1409;0;9;0;1;0;1;44;0;0;5;0;9;0
1410;0;11;0;1;0;1;307;0;0;4;0;14;0
1411;0;6;0;1;0;1;257;0;0;4;0;6;0
1412;0;14;0;1;0;1;70;0;0;4;0;14;0
1413;0;1;0;1;0;0;0;0;0;1;0;1;0
1414;0;9;0;1;0;1;314;0;0;4;0;10;0
1415;0;5;0;2;0;1;81;0;0;3;0;5;0
1416;0;12;0;1;0;1;48;0;0;5;0;12;0
1417;103;3;47;2;11;1;22;24;2;2;104;3;4
1418;0;6;0;2;0;2;376;0;0;2;0;6;0
1419;4;8;4;1;0;1;288;0;1;4;4;8;0
1420;4;8;4;1;0;1;102;0;1;4;4;8;0
1421;92;1;27;1;10;0;0;17;2;1;92;1;5
1422;0;7;0;2;0;2;528;0;0;3;0;7;0
1423;0;7;0;1;0;1;481;0;0;3;0;7;0
1424;0;6;0;1;0;1;153;0;0;5;0;6;0
1425;0;2;0;1;0;1;31;0;0;2;0;2;0
1426;0;11;0;1;0;1;337;0;0;5;0;11;0
1427;0;4;0;1;0;1;383;0;0;2;0;4;0
1428;8;9;8;2;0;2;2192;0;1;3;8;9;0
1429;0;15;0;1;0;1;952;0;0;5;0;16;0
1430;0;4;0;1;0;1;152;0;0;3;0;4;0
1431;0;3;0;1;0;1;134;0;0;3;0;3;0
1432;0;8;0;2;0;2;695;0;0;3;0;9;0
1433;0;3;0;1;0;1;98;0;0;2;0;3;0
1434;0;7;0;1;0;1;89;0;0;3;0;7;0
1435;0;7;0;1;0;1;23;0;0;5;0;7;0
1436;4;16;4;2;0;2;291;0;1;5;4;17;0
1437;0;8;0;1;0;1;94;0;0;4;0;9;0
1438;0;4;0;1;0;1;74;0;0;3;0;4;0
1439;0;9;0;1;0;1;153;0;0;5;0;9;0
1440;0;0;0;0;0;0;0;0;0;0;0;0;0
1441;0;3;0;1;0;1;219;0;0;2;0;3;0
1442;0;9;0;2;0;2;22;0;0;3;0;9;0
1443;0;5;0;1;0;1;56;0;0;3;0;5;0
1444;0;3;0;1;0;1;89;0;0;2;0;3;0
1445;0;6;0;2;0;2;84;0;0;2;0;6;0
1446;0;5;0;1;0;1;85;0;0;3;0;5;0
1447;0;8;0;1;0;1;188;0;0;5;0;8;0
1448;0;3;0;1;0;1;109;0;0;3;0;3;0
1449;0;13;0;2;0;2;737;0;0;4;0;13;0
1450;0;9;0;2;0;2;908;0;0;3;0;9;0
1451;0;4;0;1;0;1;257;0;0;3;0;4;0
1452;0;6;0;1;0;1;64;0;0;4;0;6;0
1453;0;4;0;1;0;1;167;0;0;3;0;4;0
1454;0;4;0;1;0;1;70;0;0;4;0;4;0
1455;0;9;0;2;0;2;163;0;0;3;0;10;0
1456;0;5;0;1;0;1;565;0;0;4;0;5;0
1457;1;6;1;2;0;2;163;0;1;3;1;6;0
1458;0;6;0;2;0;2;29;0;0;4;0;7;0
1459;70;14;44;3;3;3;859;9;2;4;70;14;2
1460;0;0;0;0;0;0;0;0;0;0;0;0;0
1461;0;3;0;1;0;1;18;0;0;3;0;3;0
1462;1;20;1;2;0;2;363;0;1;5;1;20;0
1463;0;9;0;1;0;1;285;0;0;6;0;9;0
1464;0;16;0;2;0;1;8;0;0;6;0;16;0
1465;0;3;0;1;0;1;318;0;0;2;0;3;0
1466;0;19;0;1;0;1;26;0;0;6;0;19;0
1467;0;8;0;1;0;1;397;0;0;3;0;8;0
1468;0;2;0;1;0;1;163;0;0;2;0;2;0
1469;0;4;0;2;0;1;65;0;0;3;0;4;0
1470;0;4;0;1;0;1;1424;0;0;4;0;4;0
1471;0;6;0;1;0;1;810;0;0;3;0;6;0
1472;0;2;0;1;0;1;45;0;0;2;0;2;0
1473;0;9;0;2;0;2;94;0;0;3;0;9;0
1474;0;4;0;1;0;1;210;0;0;4;0;4;0
1475;0;18;0;2;0;2;137;0;0;5;0;18;0
1476;2;4;2;1;0;1;114;0;1;3;2;4;0
1477;0;5;0;1;0;1;153;0;0;4;0;5;0
1478;0;8;0;1;0;1;316;0;0;4;0;8;0
1479;24;5;24;2;0;1;79;0;1;3;24;5;0
1480;0;8;0;2;0;2;638;0;0;3;0;8;0
1481;0;2;0;2;0;0;0;0;0;1;0;2;0
1482;0;6;0;1;0;1;354;0;0;3;0;6;0
1483;0;5;0;1;0;1;150;0;0;3;0;5;0
1484;0;7;0;1;0;1;95;0;0;5;0;7;0
1485;0;17;0;2;0;1;44;0;0;5;0;17;0
1486;0;11;0;1;0;1;106;0;0;5;0;11;0
1487;0;9;0;2;0;1;87;0;0;4;0;9;0
1488;0;1;0;1;0;0;0;0;0;1;0;1;0
1489;0;11;0;2;0;2;570;0;0;4;0;11;0
1490;0;4;0;1;0;1;158;0;0;3;0;4;0
1491;0;3;0;1;0;1;112;0;0;3;0;3;0
1492;0;1;0;1;0;0;0;0;0;1;0;1;0
1493;0;6;0;1;0;1;301;0;0;4;0;9;0
1494;0;7;0;1;0;1;13;0;0;5;0;7;0
1495;0;3;0;1;0;1;62;0;0;3;0;3;0
1496;0;8;0;1;0;1;177;0;0;4;0;8;0
1497;0;7;0;1;0;1;829;0;0;4;0;8;0
1498;0;3;0;1;0;1;62;0;0;2;0;3;0
1499;0;5;0;1;0;1;64;0;0;4;0;5;0
1500;0;1;0;1;0;0;0;0;0;1;0;1;0
1501;0;6;0;1;0;1;32;0;0;5;0;6;0
1502;0;8;0;1;0;1;167;0;0;6;0;8;0
1503;0;1;0;1;0;0;0;0;0;1;0;1;0
1504;0;3;0;1;0;1;0;0;0;2;0;3;0
1505;1;3;1;2;0;2;91;0;1;2;1;4;0
1506;0;4;0;1;0;1;353;0;0;3;0;4;0
1507;0;7;0;1;0;1;144;0;0;4;0;7;0
1508;0;5;0;1;0;1;462;0;0;3;0;5;0
1509;0;7;0;1;0;1;185;0;0;5;0;7;0
1510;11;2;11;1;0;1;50;0;1;2;11;2;0
1511;0;5;0;1;0;1;248;0;0;3;0;5;0
1512;0;17;0;2;0;2;236;0;0;5;0;17;0
1513;0;5;0;1;0;1;57;0;0;3;0;5;0
1514;0;4;0;1;0;1;31;0;0;4;0;4;0
1515;245;1;33;1;8;0;0;59;4;1;247;1;5
1516;0;4;0;1;0;1;351;0;0;3;0;4;0
1517;4;5;4;2;0;2;212;0;1;3;4;5;0
1518;0;12;0;2;0;2;189;0;0;4;0;13;0
1519;0;3;0;1;0;1;74;0;0;3;0;3;0
1520;0;3;0;1;0;1;289;0;0;3;0;3;0
1521;0;20;0;2;0;2;84;0;0;8;0;20;0
1522;0;7;0;1;0;1;286;0;0;3;0;7;0
1523;0;6;0;1;0;1;219;0;0;4;0;7;0
1524;0;3;0;1;0;1;125;0;0;3;0;3;0
1525;0;6;0;1;0;1;79;0;0;3;0;6;0
1526;0;10;0;1;0;1;253;0;0;5;0;10;0
1528;0;12;0;2;0;2;148;0;0;5;0;12;0
1529;0;1;0;1;0;0;0;0;0;1;0;1;0
1530;0;14;0;2;0;2;336;0;0;4;0;14;0
1531;0;7;0;1;0;1;235;0;0;3;0;7;0
1533;0;3;0;1;0;1;19;0;0;2;0;3;0
1534;0;10;0;1;0;1;328;0;0;4;0;10;0
1535;0;18;0;3;0;2;123;0;0;5;0;18;0
1536;0;6;0;1;0;1;38;0;0;4;0;6;0
1537;0;10;0;1;0;1;3;0;0;5;0;12;0
1538;0;7;0;2;0;2;306;0;0;3;0;7;0
1539;0;9;0;1;0;1;100;0;0;4;0;9;0
1540;5;1;5;1;0;0;0;0;1;1;5;1;0
1541;539;0;23;0;16;0;0;96;5;0;549;0;8
1542;4;1;4;1;0;0;0;0;1;1;4;1;0
1543;0;2;0;1;0;1;35;0;0;2;0;2;0
1544;0;5;0;1;0;1;236;0;0;4;0;5;0
1545;0;11;0;1;0;1;528;0;0;5;0;11;0
1546;0;6;0;2;0;1;412;0;0;3;0;6;0
1547;62;5;40;2;4;1;40;4;2;3;62;5;3
1548;2;10;2;2;0;2;136;0;1;4;2;10;0
1549;0;6;0;1;0;1;263;0;0;4;0;6;0
1550;0;7;0;1;0;1;76;0;0;5;0;7;0
1551;0;8;0;1;0;1;258;0;0;4;0;8;0
1552;0;9;0;1;0;1;75;0;0;4;0;10;0
1553;0;1;0;1;0;0;0;0;0;1;0;1;0
1554;0;7;0;1;0;1;32;0;0;4;0;7;0
1555;0;9;0;2;0;2;372;0;0;4;0;10;0
1556;0;5;0;1;0;1;38;0;0;4;0;5;0
1557;305;1;31;1;5;0;0;51;4;1;305;1;5
1558;0;5;0;1;0;1;194;0;0;4;0;5;0
1559;0;9;0;1;0;1;20;0;0;4;0;9;0
1560;0;7;0;1;0;1;53;0;0;4;0;8;0
1561;0;1;0;1;0;0;0;0;0;1;0;1;0
1562;0;5;0;1;0;1;392;0;0;4;0;5;0
1563;0;13;0;1;0;1;620;0;0;5;0;14;0
1564;0;4;0;1;0;1;70;0;0;4;0;4;0
1565;0;5;0;2;0;1;188;0;0;4;0;5;0
1566;0;11;0;2;0;2;810;0;0;4;0;11;0
1567;0;1;0;1;0;0;0;0;0;1;0;1;0
1568;0;6;0;1;0;1;120;0;0;4;0;6;0
1569;0;9;0;1;0;1;219;0;0;4;0;9;0
1570;0;12;0;3;0;2;2123;0;0;4;0;14;0
1571;1;10;1;2;0;2;350;0;1;3;1;10;0
1572;0;4;0;1;0;1;131;0;0;4;0;4;0
1573;0;4;0;1;0;1;80;0;0;3;0;4;0
1574;0;6;0;1;0;1;476;0;0;4;0;6;0
1575;0;9;0;2;0;2;731;0;0;4;0;9;0
1576;0;3;0;1;0;1;121;0;0;2;0;4;0
1577;0;6;0;1;0;1;824;0;0;4;0;6;0
1578;0;3;0;1;0;1;53;0;0;2;0;3;0
1579;0;39;0;2;0;2;365;0;0;6;0;39;0
1580;0;3;0;1;0;1;47;0;0;3;0;3;0
1581;0;2;0;1;0;1;87;0;0;2;0;2;0
1582;0;4;0;1;0;1;586;0;0;3;0;4;0
1583;0;8;0;1;0;1;215;0;0;5;0;8;0
1584;0;3;0;1;0;1;143;0;0;2;0;4;0
1585;0;4;0;1;0;1;81;0;0;3;0;4;0
1586;0;1;0;1;0;0;0;0;0;1;0;1;0
1587;40;3;32;1;3;1;45;3;2;2;40;3;2
1588;0;10;0;3;0;2;603;0;0;4;0;10;0
1589;0;1;0;1;0;0;0;0;0;1;0;1;0
1590;0;5;0;1;0;1;397;0;0;3;0;5;0
1591;0;8;0;1;0;1;190;0;0;4;0;8;0
1592;0;7;0;1;0;1;3;0;0;4;0;7;0
1593;24;2;15;1;1;1;254;5;2;2;24;2;1
1594;63;8;23;2;6;2;645;20;3;3;64;8;4
1595;0;9;0;1;0;1;160;0;0;5;0;9;0
1596;0;9;0;1;0;1;92;0;0;4;0;9;0
1597;0;2;0;1;0;1;99;0;0;2;0;2;0
1598;0;7;0;1;0;1;761;0;0;3;0;7;0
1599;0;10;0;2;0;1;114;0;0;5;0;10;0
1600;0;5;0;1;0;1;64;0;0;4;0;5;0
1601;0;1;0;1;0;0;0;0;0;1;0;1;0
1602;0;3;0;1;0;1;300;0;0;3;0;3;0
1603;11;2;11;2;0;0;0;0;1;1;11;2;0
1604;0;4;0;1;0;1;146;0;0;3;0;4;0
1605;0;6;0;1;0;1;383;0;0;4;0;7;0
1606;0;5;0;1;0;1;12;0;0;4;0;5;0
1607;0;11;0;1;0;1;129;0;0;6;0;11;0
1608;0;4;0;2;0;2;174;0;0;2;0;4;0
1609;0;8;0;2;0;1;71;0;0;4;0;8;0
1610;0;5;0;1;0;1;531;0;0;3;0;5;0
1611;0;8;0;1;0;1;371;0;0;5;0;8;0
1612;0;6;0;2;0;2;358;0;0;3;0;6;0
1613;0;14;0;2;0;2;328;0;0;4;0;14;0
1614;2;6;2;2;0;2;255;0;1;3;2;6;0
1615;0;2;0;1;0;1;41;0;0;2;0;2;0
1616;0;5;0;1;0;1;13;0;0;4;0;5;0
1617;3;4;3;2;0;1;32;0;1;2;3;4;0
1618;0;8;0;2;0;2;183;0;0;4;0;8;0
1619;0;3;0;1;0;1;176;0;0;2;0;3;0
1620;0;4;0;1;0;1;177;0;0;3;0;4;0
1622;0;2;0;1;0;1;38;0;0;2;0;2;0
1623;0;5;0;1;0;1;50;0;0;5;0;5;0
1624;0;13;0;2;0;2;447;0;0;5;0;13;0
1625;4;1;4;1;0;0;0;0;1;1;4;1;0
1626;0;11;0;2;0;2;415;0;0;5;0;11;0
1627;0;4;0;1;0;1;89;0;0;3;0;4;0
